author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/301716912/,Москва,sale,flat,48,64,2,104.0,88000000,Пресненский,набережная Пресненская,8с1,Деловой центр,Город Столиц
MR Group,developer,https://www.cian.ru/sale/flat/303135248/,Москва,sale,flat,3,48,1,32.0,13670368,Покровское-Стрешнево,Вишневая ,7С128,Тушинская,Мультиквартал CITYZEN
Sense Development,developer,https://www.cian.ru/sale/flat/298147711/,Москва,sale,flat,12,13,1,43.7,27609617,Даниловский,Подольское шоссе,3,Тульская,Logos
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301362196/,Москва,sale,flat,3,15,1,65.0,61000000,Раменки,Мосфильмовская ,31А,Ломоносовский проспект,KING & SONS
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/302727231/,Москва,sale,flat,10,18,1,34.9,15100000,Останкинский,Березовая аллея,17к1,Ботанический сад,Green park
Мангазея,developer,https://www.cian.ru/sale/flat/302850687/,Москва,sale,flat,4,21,1,48.0,24209040,Щукино,Щукинская ,3,Щукинская,Интонация
ID 413522,realtor,https://www.cian.ru/sale/flat/303087594/,Москва,sale,flat,7,14,2,95.0,164990000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Виталий Флокосу,realtor,https://www.cian.ru/sale/flat/303001192/,Москва,sale,flat,2,22,1,48.0,14499000,Солнцево,Боровское шоссе,2Ак3,Говорово,Мещерский лес
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/299137613/,Москва,sale,flat,4,12,1,45.87,23045088,,,В19 кв-л,Павшино,Сберсити ЖК
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/280116651/,Москва,sale,flat,62,77,2,111.0,149000000,Пресненский,1-й Красногвардейский проезд,22,Деловой центр,NEVA TOWERS
Forma,developer,https://www.cian.ru/sale/flat/300149586/,Москва,sale,flat,5,20,2,64.41,23811037,Даниловский,Автозаводская ,26,Тульская,FORST
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/300423805/,Москва,sale,flat,2,13,1,56.19,26499204,,,В21 кв-л,Опалиха,Сберсити ЖК
Verges of estate,real_estate_agent,https://www.cian.ru/sale/flat/302141509/,Москва,sale,flat,17,47,2,63.5,28000000,Обручевский, Академика Волгина,2С3,Воронцовская,Архитектор
City View,real_estate_agent,https://www.cian.ru/sale/flat/303780972/,Москва,sale,flat,39,44,2,69.4,49000000,Пресненский,Ходынская ,2,Улица 1905 года,Пресня Сити
MR Group,developer,https://www.cian.ru/sale/flat/303451581/,Москва,sale,flat,11,29,2,55.8,21011728,Южнопортовый,Волгоградский проспект,32/3к4,Дубровка,Метрополия
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/300577056/,Москва,sale,flat,35,78,2,83.0,63000000,Пресненский,1-й Красногвардейский проезд,22,Деловой центр,NEVA TOWERS
Dream Realty,real_estate_agent,https://www.cian.ru/sale/flat/303637932/,Москва,sale,flat,8,28,2,61.6,30000000,Раменки,Винницкая ,8к4,Раменки,Настоящее
Level Group,developer,https://www.cian.ru/sale/flat/298671589/,Москва,sale,flat,3,17,2,39.8,25553054,Басманный,Большая Почтовая ,,Электрозаводская,Level Бауманская
TimeProperty,real_estate_agent,https://www.cian.ru/sale/flat/292945866/,Москва,sale,flat,5,15,2,57.4,33000000,Якиманка, Шаболовка,23к2,Шаболовская,Созвездие Капитал-1
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/299093726/,Москва,sale,flat,4,4,1,39.9,11600000,Южное Тушино,Окружная ,2,Трикотажная,
Level Group,developer,https://www.cian.ru/sale/flat/296357478/,Москва,sale,flat,24,26,2,41.8,26487928,Нагатино-Садовники,Нагатинская набережная,10А,Нагатинская,Level Нагатинская
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/290380827/,Москва,sale,flat,2,6,2,107.0,160626848,Таганский,Серебряническая набережная,19,Чкаловская,АртХаус
ID 111759195,developer,https://www.cian.ru/sale/flat/296871994/,Москва,sale,flat,13,30,2,38.2,12839096,Рязанский,Рязанский проспект,,Окская,balance
Трансстройинвест,developer,https://www.cian.ru/sale/flat/296222970/,Москва,sale,flat,17,22,2,58.9,29460366,Останкинский,проезд Ольминского,4,ВДНХ,Сенатор
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/271842660/,Москва,sale,flat,3,9,2,65.0,87297200,Пресненский,Большая Бронная ,9/1,Пушкинская,
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/304126777/,Москва,sale,flat,16,17,1,38.6,9300000,, Бианки,8к2,Рассказовка,
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/297536389/,Москва,sale,flat,24,25,2,54.7,22427000,Щукино, Берзарина,32,Щукинская,Октябрьское поле
TimeProperty,real_estate_agent,https://www.cian.ru/sale/flat/296060335/,Москва,sale,flat,51,53,2,37.4,19500000,Очаково-Матвеевское,,к1,Мичуринский проспект,Левел Мичуринский ЖК
Юлия Похлёбина,realtor,https://www.cian.ru/sale/flat/303496415/,Москва,sale,flat,9,25,2,61.5,19990000,, Анны Ахматовой,8,Рассказовка,Переделкино Ближнее Город-парк
Regions Development,developer,https://www.cian.ru/sale/flat/304060672/,Москва,sale,flat,2,23,1,57.5,29661082,Нагатинский затон,проспект Андропова,9/1,Технопарк,Dream Towers
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/290380842/,Москва,sale,flat,33,73,2,103.0,110000000,Пресненский,набережная Пресненская,8с1,Деловой центр,Город Столиц
ЦеНтр ПИК,real_estate_agent,https://www.cian.ru/sale/flat/301449141/,Москва,sale,flat,21,22,2,39.9,11700000,, Картмазовские Пруды,2к3,Филатов Луг,
Regions Development,developer,https://www.cian.ru/sale/flat/304011899/,Москва,sale,flat,10,16,1,40.9,19546264,Преображенское,Жилой комплекс Преображенская площадь,,Преображенская площадь,Преображенская площадь
Артем Ченцов,realtor,https://www.cian.ru/sale/flat/302772342/,Москва,sale,flat,9,30,2,49.8,26000000,Хорошево-Мневники,Шелепихинская набережная,40к3,Хорошёвская,Sydney City
ЦеНтр ПИК,real_estate_agent,https://www.cian.ru/sale/flat/294469100/,Москва,sale,flat,9,9,2,44.0,12300000,Нижегородский,Нижегородская ,49А,Нижегородская,
Стадион Спартак,developer,https://www.cian.ru/sale/flat/292442347/,Москва,sale,flat,3,13,1,45.4,23081360,Покровское-Стрешнево,Северо-Западный ао,,Спартак,Клубный Город на Реке Примавера ЖК
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/294511036/,Москва,sale,flat,4,23,2,90.6,45000000,Хорошевский, Гризодубовой,2,ЦСКА,Гранд-парк
Основа,developer,https://www.cian.ru/sale/flat/286347121/,Москва,sale,flat,2,29,2,45.7,14194420,Черемушки, Наметкина,вл10,Новые Черёмушки,Nametkin Tower
MR Group,developer,https://www.cian.ru/sale/flat/298871278/,Москва,sale,flat,2,19,2,53.4,18893133,Покровское-Стрешнево,,,Тушинская,Ситизен ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301520504/,Москва,sale,flat,2,21,2,116.0,142000000,Пресненский, Костикова,4к3,Улица 1905 года,Lucky
ID 45097821,realtor,https://www.cian.ru/sale/flat/301645204/,Москва,sale,flat,2,23,2,38.0,13500000,Хорошевский, Зорге,9,Полежаевская,Зорге 9
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/292534789/,Москва,sale,flat,2,25,2,54.5,18393750,Соколиная гора,,,Соколиная гора,Семеновский Парк 2 ЖК
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/303710283/,Москва,sale,flat,5,15,2,63.0,35499999,Раменки,Винницкая ,8к3,Раменки,Настоящее
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/303870914/,Москва,sale,flat,9,17,2,51.1,14800000,Марьино,Новомарьинская ,36К1,Братиславская,
COLDY,developer,https://www.cian.ru/sale/flat/297997304/,Москва,sale,flat,2,14,1,101.91,183834633,Хамовники,переулок 1-й Тружеников,12,Киевская,Хамовники 12
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/301353911/,Москва,sale,flat,5,7,2,69.7,100564740,Арбат,Поварская ,8/1к1,Арбатская,De Luxe квартал апартаментов 
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/300553173/,Москва,sale,flat,2,14,2,69.9,35000000,Мещанский, Гиляровского,4К1,Сухаревская,
Центр-Инвест,representative_developer,https://www.cian.ru/sale/flat/304087556/,Москва,sale,flat,7,15,2,40.8,24984579,Раменки,Винницкая ,8к3,Раменки,Настоящее
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/290001136/,Москва,sale,flat,2,6,2,75.0,84750000,Замоскворечье,Большой Ордынский переулок,4С4,Третьяковская,Собрание клубных домов ORDYNKA
Level Group,developer,https://www.cian.ru/sale/flat/301565134/,Москва,sale,flat,11,23,2,34.9,12063811,Печатники,,13,Кожуховская,Левел Южнопортовая ЖК
Sminex,developer,https://www.cian.ru/sale/flat/293713671/,Москва,sale,flat,2,14,1,72.6,133830000,Якиманка,,,Полянка,Лаврушинский ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/300015723/,Москва,sale,flat,20,39,2,64.0,37000000,Раменки, Лобачевского,120к1,Аминьевская,Крылья
Доступная Недвижимость. 8 отдел,real_estate_agent,https://www.cian.ru/sale/flat/301970961/,Москва,sale,flat,7,7,1,43.0,16000000,Таганский,Нижегородская ,32С3,Римская,Loft FM
ASTERUS,representative_developer,https://www.cian.ru/sale/flat/299661848/,Москва,sale,flat,2,14,2,57.0,28160045,Покровское-Стрешнево,,,Тушинская,Алиа ЖК
Данил Пшеничный,realtor,https://www.cian.ru/sale/flat/303857944/,Москва,sale,flat,16,35,1,39.1,19000000,Останкинский, Годовикова,11к4,Алексеевская,iLove
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/289779311/,Москва,sale,flat,3,25,2,43.2,18500000,Филевский парк,Береговой проезд,5к2,Фили,Фили Град
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/300921483/,Москва,sale,flat,2,19,2,62.8,25170240,Савеловский,Старый Петровско-Разумовский проезд,1/23С5,Гражданская,Петровский парк II
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/299723346/,Москва,sale,flat,63,66,1,86.0,90000000,Пресненский,1-й Красногвардейский проезд,22,Деловой центр,NEVA TOWERS
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/302818966/,Москва,sale,flat,4,4,2,75.7,39900000,Марьина роща,проезд 12-й Марьиной рощи,8С2,Марьина Роща,Лофт-квартал Studio #12
Трансстройинвест,developer,https://www.cian.ru/sale/flat/299589652/,Москва,sale,flat,2,24,1,43.5,17768630,Очаково-Матвеевское,Мичуринский проспект,72А,Озёрная,ОМ
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/303476285/,Москва,sale,flat,9,29,2,68.1,40000000,Хорошево-Мневники,Шелепихинская набережная,34к4,Шелепиха,Сердце Столицы
Минские холмы,developer,https://www.cian.ru/sale/flat/298045259/,Москва,sale,flat,8,52,2,53.8,21824030,Раменки,проспект Генерала Дорохова,вл1к1,Раменки,Will Towers
VOS HOD,developer,https://www.cian.ru/sale/flat/300560439/,Москва,sale,flat,8,17,2,71.8,43991860,Филевский парк, Василисы Кожиной,вл25/1,Филёвский парк,AHEAD
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/302590858/,Москва,sale,flat,3,8,2,59.3,48800000,Даниловский,Хавская ,9,Шаболовская,Residence Hall Шаболовский
Екатерина Боброва,realtor,https://www.cian.ru/sale/flat/303375655/,Москва,sale,flat,10,12,1,38.0,15950000,КРАСИВАЯ квартира в шикарном е1-комн. квартира,38 м²,,,
КОРТРОС,developer,https://www.cian.ru/sale/flat/289743607/,Москва,sale,flat,33,41,2,66.47,32756416,Пресненский,Шелепихинское шоссе,,Шелепиха,Headliner
ФОРА,real_estate_agent,https://www.cian.ru/sale/flat/302745451/,Москва,sale,flat,6,6,2,64.2,26500000,Хорошевский,2-й Хорошевский проезд,9К1,Беговая,
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/301906475/,Москва,sale,flat,16,22,1,17.3,7700000,Тропарево-Никулино,Ленинский проспект,158,Тропарёво,
Hutton Development,developer,https://www.cian.ru/sale/flat/299066778/,Москва,sale,flat,4,17,2,87.6,50808000,Гагаринский,Ленинский проспект,38,Ленинский проспект,Lunar
ID 50126037,homeowner,https://www.cian.ru/sale/flat/303879410/,Москва,sale,flat,11,85,2,89.4,55000000,Пресненский,1-й Красногвардейский проезд,21с2,Деловой центр,МФК ОКО
HYDE Residences,real_estate_agent,https://www.cian.ru/sale/flat/303399320/,Москва,sale,flat,50,85,2,92.0,43000000,Пресненский,1-й Красногвардейский проезд,21с2,Деловой центр,МФК ОКО
Концерн КРОСТ,developer,https://www.cian.ru/sale/flat/299370745/,Москва,sale,flat,2,6,1,39.0,19500000,Хорошево-Мневники, Саляма Адиля,2А,Народное Ополчение,Wellton SPA Residence
ЛИДЕР Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/303476125/,Москва,sale,flat,13,40,2,47.3,41150000,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк
ALVO Group,real_estate_agent,https://www.cian.ru/sale/flat/292414471/,Москва,sale,flat,3,20,2,64.0,38000000,Беговой,Бумажный проезд,4,Белорусская,Клубный дом SOHO+NOHO
СТ Тауэрс,developer,https://www.cian.ru/sale/flat/302833885/,Москва,sale,flat,42,66,2,67.4,64704000,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
ЛИДЕР Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/302153674/,Москва,sale,flat,9,41,1,40.4,31500000,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/302795522/,Москва,sale,flat,2,20,2,36.0,13795200,Головинский,Михалковская ,48С4,Коптево,Михалковский
Sminex,developer,https://www.cian.ru/sale/flat/304094787/,Москва,sale,flat,3,24,1,51.4,53340000,Пресненский,Электрический переулок,1с22,Белорусская,Квартал Тишинский бульвар
Князев и Партнёры,real_estate_agent,https://www.cian.ru/sale/flat/303275971/,Москва,sale,flat,3,13,2,65.6,49800000,Пресненский,Большая Садовая ,5к1,Маяковская,Квартал апартаментов Сады Пекина
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/300833061/,Москва,sale,flat,2,14,1,43.7,17900000,Лефортово,проезд Шелихова,3,Площадь Ильича,Символ
TOUCH,developer,https://www.cian.ru/sale/flat/302838481/,Москва,sale,flat,6,13,2,60.31,35498000,Южнопортовый,,к3,Дубровка,Шампайн ЖК
Князев и Партнёры,real_estate_agent,https://www.cian.ru/sale/flat/303397064/,Москва,sale,flat,30,41,2,57.0,30000000,Раменки,1-й Сетуньский проезд,вл6,Кутузовская,Hide
Мария Смогоржевская,realtor,https://www.cian.ru/sale/flat/261635293/,Москва,sale,flat,11,17,2,65.4,25700000,Кунцево,Партизанская ,36,Молодёжная,
Sminex,developer,https://www.cian.ru/sale/flat/303125654/,Москва,sale,flat,8,14,1,44.6,25870000,Раменки,проспект Генерала Дорохова,39к2Л,Ломоносовский проспект,Собрание клубных домов West Garden
А101,developer,https://www.cian.ru/sale/flat/300576607/,Москва,sale,flat,11,15,2,35.9,9161895,,,,Филатов Луг,Деснаречье ЖК
ID 413522,realtor,https://www.cian.ru/sale/flat/303087584/,Москва,sale,flat,7,12,2,78.0,104490000,Хамовники, Ефремова,10,Фрунзенская,Садовые кварталы
Колди,developer,https://www.cian.ru/sale/flat/302241722/,Москва,sale,flat,17,21,1,30.09,8649740,Нижегородский,,,Калитники,Н'айс Лофт ЖК
MERSI,real_estate_agent,https://www.cian.ru/sale/flat/303071453/,Москва,sale,flat,10,23,1,35.4,10900000,Южнопортовый,Волгоградский проспект,30С1,Волгоградский проспект,HighWay
ALVO Group,real_estate_agent,https://www.cian.ru/sale/flat/300346168/,Москва,sale,flat,12,25,2,80.0,40000000,Раменки,Мичуринский проспект,26,Раменки,
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/301301828/,Москва,sale,flat,3,26,1,37.6,14073680,Соколиная гора,,,Соколиная гора,Семеновский Парк 2 ЖК
Центр-Инвест,representative_developer,https://www.cian.ru/sale/flat/298334392/,Москва,sale,flat,6,15,1,40.5,24502499,Раменки,Винницкая ,8к3,Раменки,Настоящее
luxе real estate,real_estate_agent,https://www.cian.ru/sale/flat/301721760/,Москва,sale,flat,4,13,2,66.0,24400000,Академический,Новочеремушкинская ,27,Академическая,"Новочерёмушкинская, 27"
Forma,developer,https://www.cian.ru/sale/flat/303666807/,Москва,sale,flat,7,25,2,69.3,29650420,Печатники,Южнопортовая ,,Печатники,Portland
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303459806/,Москва,sale,flat,9,15,2,62.9,35500000,Раменки,Винницкая ,8к3,Раменки,Настоящее
ASTERUS,representative_developer,https://www.cian.ru/sale/flat/303294788/,Москва,sale,flat,14,25,1,37.7,20535964,Покровское-Стрешнево,,,Тушинская,Алиа ЖК
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/296774064/,Москва,sale,flat,2,24,1,43.9,20014010,Савеловский,Старый Петровско-Разумовский проезд,1/23С5,Гражданская,Петровский парк II
VIСTORY GROUP,real_estate_agent,https://www.cian.ru/sale/flat/302730830/,Москва,sale,flat,14,32,2,64.0,47990000,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
VOS HOD,developer,https://www.cian.ru/sale/flat/300560437/,Москва,sale,flat,8,17,1,69.3,38918880,Филевский парк, Василисы Кожиной,вл25/1,Филёвский парк,AHEAD
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303199166/,Москва,sale,flat,7,79,2,62.1,49680000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
Hutton Development,developer,https://www.cian.ru/sale/flat/303631394/,Москва,sale,flat,5,17,1,50.3,35000000,Гагаринский,Ленинский проспект,38,Ленинский проспект,Lunar
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/299740778/,Москва,sale,flat,1,17,2,65.8,14000000,, Бачуринская,22к2,Коммунарка,
TOUCH,developer,https://www.cian.ru/sale/flat/302838439/,Москва,sale,flat,2,13,1,40.02,22691340,Южнопортовый,,к3,Дубровка,Шампайн ЖК
One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/303016403/,Москва,sale,flat,12,28,1,45.2,20950000,Даниловский,Автозаводская ,,Автозаводская,Shagal
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/300923063/,Москва,sale,flat,2,15,1,36.6,13995840,Головинский,Северный ао,,Коптево,Михалковский ЖК
MR Group,developer,https://www.cian.ru/sale/flat/303786405/,Москва,sale,flat,12,39,1,33.69,14852731,Западное Дегунино,Северный ао,,Селигерская,Селигер Сити ЖК
MERSI,real_estate_agent,https://www.cian.ru/sale/flat/303520855/,Москва,sale,flat,1,6,2,54.0,47000000,Пресненский,Большой Козихинский переулок,17С1,Пушкинская,
ДОНСТРОЙ,developer,https://www.cian.ru/sale/flat/304095973/,Москва,sale,flat,13,50,1,39.7,22501960,Раменки,м. Мичуринский проспект,,Мичуринский проспект,Событие
SKYEST,real_estate_agent,https://www.cian.ru/sale/flat/302885559/,Москва,sale,flat,5,41,2,68.0,51390000,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
Estes,real_estate_agent,https://www.cian.ru/sale/flat/302214446/,Москва,sale,flat,28,45,2,77.1,37400000,Хорошево-Мневники,,,Шелепиха,Сидней Сити ЖК
GloraX,developer,https://www.cian.ru/sale/flat/303477025/,Москва,sale,flat,4,21,1,53.11,29079999,Беговой, 1-я Ямского Поля,28С3,Белорусская,GloraX Premium Белорусская
